App ID,Name,Image URL,Minutes of Playtime,Main,Main + Extra,Completionist,Achievements completed, Achievements total, Percentage
291480,Warface: Clutch,http://media.steampowered.com/steamcommunity/public/images/apps/291480/66ef308279871d99ca776d4602bf02a354570368.jpg,89,0.0,0.0,0.0,0,67,0.0
317400,Portal Stories: Mel,http://media.steampowered.com/steamcommunity/public/images/apps/317400/bf3360bc5594c6d1e8e0eeaaa2f7b09d6bf7a6e5.jpg,0,7.67,9.31,12.37,0,28,0.0
322170,Geometry Dash,http://media.steampowered.com/steamcommunity/public/images/apps/322170/7fb2e71773468dbd98d56c733b604c92f5ab0ad4.jpg,2416,18.91,227.15,1272.44,101,120,84.17
325260,PANZER BALL,http://media.steampowered.com/steamcommunity/public/images/apps/325260/d732c264e6666d1496da26db930a9fe32476bef5.jpg,231,0.94,0.0,0.0,NA,NA,NA
304240,Resident Evil,http://media.steampowered.com/steamcommunity/public/images/apps/304240/a60a960c76f26ab81773d4f2d372836db37a0012.jpg,60,6.75,8.41,14.8,1,44,2.27
363970,Clicker Heroes,http://media.steampowered.com/steamcommunity/public/images/apps/363970/155ed2de95eacc3353b91c2a057bdbf727c11c20.jpg,27183,298.73,827.35,1111.1,65,111,58.56
365670,Blender,http://media.steampowered.com/steamcommunity/public/images/apps/365670/48733cd333eea6e40711a1b9c6dde32ffe363ced.jpg,20910,1.81,2.88,6.35,NA,NA,NA
367520,Hollow Knight,http://media.steampowered.com/steamcommunity/public/images/apps/367520/7b87aecda896ae747a6e40e3eb63498cb8b84df2.jpg,7850,27.01,41.69,64.48,56,63,88.89
261570,Ori and the Blind Forest,http://media.steampowered.com/steamcommunity/public/images/apps/261570/a8b0c1ca89fa421e5061d4ac5c17e2fbf4f08845.jpg,0,8.21,10.34,11.52,0,50,0.0
387290,Ori and the Blind Forest: Definitive Edition,http://media.steampowered.com/steamcommunity/public/images/apps/387290/a8b0c1ca89fa421e5061d4ac5c17e2fbf4f08845.jpg,496,9.02,11.29,12.72,46,57,80.7
291550,Brawlhalla,http://media.steampowered.com/steamcommunity/public/images/apps/291550/c43fac31b8bf8821764603a14d09412bc3d45f66.jpg,15,64.38,125.34,315.16,1,65,1.54
404790,Godot Engine,http://media.steampowered.com/steamcommunity/public/images/apps/404790/057ae868c1d0975b941d73f58d1dc17c8a15a090.jpg,1,NA,NA,NA,NA,NA,NA
420530,OneShot,http://media.steampowered.com/steamcommunity/public/images/apps/420530/b5f932179c1e35da8651b4cc05b2cd96d0e6540b.jpg,139,4.63,7.01,8.83,2,11,18.18
427520,Factorio,http://media.steampowered.com/steamcommunity/public/images/apps/427520/267f5a89f36ab287e600a4e7d4e73d3d11f0fd7d.jpg,1624,49.95,93.49,220.45,1,88,1.14
438100,VRChat,http://media.steampowered.com/steamcommunity/public/images/apps/438100/52c5f93bd9f8de008307f5fad95023600267462c.jpg,0,126.22,202.62,389.86,NA,NA,NA
427920,FNaF World,http://media.steampowered.com/steamcommunity/public/images/apps/427920/581103a1ede14ed35487b83fba9db77417631301.jpg,71,6.44,28.3,33.6,NA,NA,NA
444090,Paladins,http://media.steampowered.com/steamcommunity/public/images/apps/444090/1565119c17f532338a0645b98e69e1fc1df0c29e.jpg,0,65.65,178.6,443.92,0,58,0.0
596350,Paladins - Public Test,http://media.steampowered.com/steamcommunity/public/images/apps/596350/0a073dec4ffe8398b74369289d0c987134e35986.jpg,0,NA,NA,NA,NA,NA,NA
444640,Bloons TD Battles,http://media.steampowered.com/steamcommunity/public/images/apps/444640/8041a649686724400b5999a364b3bc8ad1840ac2.jpg,192,9.13,11.0,56.67,3,16,18.75
450390,The Lab,http://media.steampowered.com/steamcommunity/public/images/apps/450390/69ca11312e3a1779946de8871d6bdb003636ffbf.jpg,7,1.01,1.69,1.86,NA,NA,NA
457550,Bigscreen Beta,http://media.steampowered.com/steamcommunity/public/images/apps/457550/159819f9fa0765ddab16ae93be9aa956789817bc.jpg,0,NA,NA,NA,NA,NA,NA
461560,Mandagon,http://media.steampowered.com/steamcommunity/public/images/apps/461560/829703508461a34cad7e682712a5bf8f86011168.jpg,8,0.65,0.74,0.78,0,5,0.0
379720,DOOM,http://media.steampowered.com/steamcommunity/public/images/apps/379720/b6e72ff47d1990cb644700751eeeff14e0aba6dc.jpg,270,11.68,16.45,27.09,4,54,7.41
471710,Rec Room,http://media.steampowered.com/steamcommunity/public/images/apps/471710/8b4f9c24ad1df00f0db62ee79b6198a0bb96d044.jpg,724,1.11,852.17,0.0,NA,NA,NA
504230,Celeste,http://media.steampowered.com/steamcommunity/public/images/apps/504230/04cb7aa0b497a3962e6b1655b7fd81a2cc95d18b.jpg,1725,8.29,14.5,38.25,21,32,65.62
319630,Life is Strange,http://media.steampowered.com/steamcommunity/public/images/apps/319630/e54b13da0710a35e7088664a77632e79157d8332.jpg,0,14.16,16.44,18.51,0,60,0.0
510050,You Have 10 Seconds,http://media.steampowered.com/steamcommunity/public/images/apps/510050/6d86dcfda5ce2f3f90aed1e6853b885b7a36d2d4.jpg,0,0.33,0.57,0.71,NA,NA,NA
544810,KARDS - The WWII Card Game,http://media.steampowered.com/steamcommunity/public/images/apps/544810/a87cdfca39c1dd5eadfd919621e008c1bdbd705c.jpg,0,3,NA,NA,NA,NA,NA
546560,Half-Life: Alyx,http://media.steampowered.com/steamcommunity/public/images/apps/546560/225032ac2ad1aca8f5fd98baa2b9daf1eebea5ca.jpg,727,12.21,14.27,19.01,19,42,45.24
548340,Abode,http://media.steampowered.com/steamcommunity/public/images/apps/548340/11cdceeb0ee129156fd5c7c978d03a3b0017182e.jpg,38,1.04,1.1,1.17,0,8,0.0
555160,Pavlov VR,http://media.steampowered.com/steamcommunity/public/images/apps/555160/d537afd8696affb4b2294aed07be5e13bcfc5d87.jpg,145,2.63,17.18,140.87,NA,NA,NA
584930,Conductor,http://media.steampowered.com/steamcommunity/public/images/apps/584930/d4c5eb24f46ae3de55fdbd12a6f875bc2569f685.jpg,0,1.66,1.81,1.98,NA,NA,NA
587430,I Expect You To Die,http://media.steampowered.com/steamcommunity/public/images/apps/587430/0b35852cdecb175743494825b3e80b1ddc1a9551.jpg,484,3.12,4.05,5.58,11,11,100.0
